id, token, freq
1177, b'58', 50
1178, b' in the U', 50
1179, b' in c', 49
1180, b'of b', 49
1181, b'.2', 49
1182, b' ran', 49
1183, b' ment', 49
1184, b'an f', 49
1185, b'il 1', 49
1186, b' ini', 49
1187, b'lib', 49
1188, b'Mat', 49
1189, b' 16', 49
1190, b'rmat', 49
1191, b' on 1', 49
1192, b', suc', 49
1193, b'68', 49
1194, b'menti', 49
1195, b'!', 48
1196, b'Ser', 48
1197, b'Shi', 48
1198, b'Mor', 48
1199, b'd 2', 48
1200, b'ath ', 48
1201, b'.\n\nD', 48
1202, b'-T', 48
1203, b'clos', 48
1204, b'ned in', 48
1205, b'spen', 48
1206, b'e sec', 48
1207, b'Hous', 48
1208, b' sti', 47
1209, b'ne a', 47
1210, b'o M', 47
1211, b'st in', 47
1212, b'ia.', 47
1213, b'ent to', 47
1214, b'Bat', 47
1215, b' net', 47
1216, b'of the S', 47
1217, b'lose', 47
1218, b'34', 47
1219, b'Will', 47
1220, b' for h', 47
1221, b'\xb0', 46
1222, b'.0', 46
1223, b' oc', 46
1224, b' an in', 46
1225, b'erd', 46
1226, b' the ea', 46
1227, b'Cor', 46
1228, b' anno', 46
1229, b'rior', 46
1230, b'ere i', 46
1231, b'ent an', 46
1232, b'38', 46
1233, b'63', 46
1234, b'incre', 46
1235, b'a was', 46
1236, b', and s', 46
1237, b' awa', 46
1238, b'ence o', 46
1239, b'Lea', 46
1240, b'Art', 46
1241, b'lw', 45
1242, b'mt', 45
1243, b'of an', 45
1244, b'stl', 45
1245, b'of r', 45
1246, b' top', 45
1247, b'of e', 45
1248, b' mat', 45
1249, b'bse', 45
1250, b' ill', 45
1251, b'p.', 45
1252, b'g e', 45
1253, b'of the M', 45
1254, b'Tha', 45
1255, b' ei', 45
1256, b'and P', 45
1257, b'osp', 45
1258, b'inati', 45
1259, b'Jos', 45
1260, b'ucat', 45
1261, b'mitt', 45
1262, b'Fre', 45
1263, b' div', 45
1264, b'SA', 45
1265, b'sed by', 45
1266, b'due t', 45
1267, b'prev', 45
1268, b'ugg', 45
